issue,subject,company,response,product_area,status,request_type,justification
site is down & none of the pages are accessible,,None,This issue requires human support. Please escalate to the support team.,general,escalated,bug,System outage detected (requires engineering team)
What is the name of the actor in Iron Man?,"Urgent, please help",None,This issue requires human support. Please escalate to the support team.,general,escalated,invalid,Invalid or out-of-scope request
Thank you for helping me,,None,This issue requires human support. Please escalate to the support team.,general,escalated,product_issue,Invalid or out-of-scope request
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,Please escalate to human support,conversation_management,escalated,product_issue,"The provided documentation does not contain information on deleting or modifying private information within a conversation; therefore, the request cannot be handled with the available context."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,Please escalate to human support,test_management,escalated,product_issue,"The provided documentation describes how to create and manage test variants but does not contain guidance on best‑practice decisions for when to create a new test versus a variant, nor does it list advantages or disadvantages of using variants. Therefore, the request cannot be answered using the given context."
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,Please escalate to human support,test_management,escalated,product_issue,"The provided documentation does not contain information about the default active duration of tests; only custom invite expiration is covered, which does not answer the question."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,Please escalate to human support,candidate_management,escalated,product_issue,"The provided documentation explains how to add extra time for candidates, but it does not contain instructions on reinviting candidates or updating the invitation email duration. Since the required information is not in the context, the ticket must be escalated."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",,HackerRank,"We can help you delete your HackerRank Community account. Because you signed up using Google login, you must first set a password before the account can be removed. Please follow these steps:
1. Set a password for your account by resetting it: go to the *Update or Reset Password* article and follow the ""Resetting password"" instructions.
2. Once a password is set, log in to the HackerRank Community site.
3. Click your profile icon (top‑right) → **Settings**.
4. Scroll to the **Delete Accounts** section and click **Delete Account**.
5. Choose a reason and confirm the deletion.
After completing the confirmation, your account and all associated data will be permanently removed.
If you encounter any issues during this process, please let us know.",account_management,replied,product_issue,The user needs to set a password before deletion as required for third‑party sign‑ins (Section 1) and then follow the deletion steps (Section 4).
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,"You can report a lost or stolen Visa card by calling Visa’s Global Customer Assistance Services at +1 303‑967‑1090 from anywhere in the world, including India. This service is available 24/7, 365 days a year. (see Section 2) Alternatively, you may also call the local Visa lost‑card line at 000‑800‑100‑1219. (see Section 3)",card_management,replied,product_issue,"The documentation provides phone numbers for reporting lost or stolen cards globally (Section 2) and a generic lost‑card number (Section 3), which directly answer the user’s question."
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,"I'm sorry to hear about the theft of your Visa Traveller's Cheques. Since they were issued by Citicorp, you should contact Citicorp immediately to report the loss and begin the replacement or refund process. You can reach them at:
- Freephone: 1‑800‑645‑6556 (U.S.)
- Collect: 1‑813‑623‑1709 (U.S.)
Their hours are Monday‑Friday, 6:30 am to 2:30 pm EST.
When you call, have the cheque serial numbers, purchase details, and the circumstances of the loss ready, as the issuer will ask for this information to process a refund, which is usually arranged within 24 hours subject to terms and conditions.
If you cannot reach Citicorp using the numbers above, you can also use the generic Visa traveller’s cheques contact form: [Contact us about traveller’s cheques](/supporting-info/travelers-cheques-contact-us.html).",card_management,replied,product_issue,Provided the issuing bank contact details for Citicorp and the required information for a refund per sections on reporting a lost cheque and requesting a refund.
